Donchian,VolThresh,StopMult,TPMult,NetReturn,MaxDrawdown,Sharpe
40,1.0,2.5,6.0,-0.19510015947942247,-0.3365312981269939,-0.28360703821297756
20,0.8,3.0,6.0,-0.3287290776491406,-0.5275161301467179,-0.28529291144402585
10,1.2,2.5,6.0,-0.15925766915295297,-0.31482868878579234,-0.2855819511537924
40,1.0,3.0,6.0,-0.23284815972158449,-0.4011562262600392,-0.28957711544311143
10,1.0,3.0,10.0,-0.31894592393267496,-0.47667646295704036,-0.2966875056320002
10,0.8,1.5,4.0,-0.30070202259606377,-0.4797993379315938,-0.3073127314769114
10,1.0,2.5,8.0,-0.2983001659839374,-0.44683317258260824,-0.31132038185577643
30,1.0,2.5,8.0,-0.2278519495602911,-0.39051096107644484,-0.3192730729015797
10,1.0,3.0,8.0,-0.3325209508082694,-0.47907460230360543,-0.3246035792867951
10,1.0,3.0,4.0,-0.30727917316478714,-0.4768892828782595,-0.33047408748201107
10,0.8,3.0,10.0,-0.44661958182772477,-0.6254657873677324,-0.3394904032267181
20,0.8,2.5,6.0,-0.32047879836198445,-0.452689977561453,-0.34507646433594363
40,1.0,3.0,8.0,-0.2669026946391449,-0.4162383333392271,-0.3457096154678629
40,1.0,3.0,4.0,-0.24764883480935188,-0.40573762010642017,-0.34757072706317577
10,0.8,2.5,8.0,-0.43181197788395304,-0.6062848505777111,-0.3614002779834975
10,0.8,3.0,6.0,-0.44866018702129484,-0.6434670396443045,-0.36699198739504457
10,0.8,3.0,8.0,-0.4641533322775639,-0.6344336338496428,-0.37500866496405827
10,1.0,2.5,4.0,-0.305499507461139,-0.44289199145505903,-0.3793487228797538
10,0.8,2.5,6.0,-0.4285093486718484,-0.6000284833856079,-0.3811170938771578
40,1.0,2.5,4.0,-0.22488905643645948,-0.357049819885264,-0.38426730356939404
10,1.2,2.5,4.0,-0.1854666149694758,-0.29016900008421626,-0.3912345453918182
40,1.0,2.5,8.0,-0.2638188138470754,-0.3482801561273092,-0.43162644154414315
10,0.8,2.5,4.0,-0.4414805015681778,-0.6186590732444671,-0.44933052188372063
10,0.8,3.0,4.0,-0.48651595808962556,-0.6609416330552145,-0.49367251489036856
